Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2010-01-04,74.94453430175781,75.94631327452989,74.36675250340484,74.69408620638448,6100980
2010-01-05,75.01042938232422,75.79251977466473,74.91376592220485,75.13345438531982,16773200
2010-01-06,75.06096649169922,75.57283770413716,74.17122411820579,75.3092088443553,13279680
2010-01-07,75.25648498535156,77.69941980418038,74.76438493677031,77.69941980418038,12247960
2010-01-08,75.35533905029297,75.72221501548421,74.73801502845754,75.2213256065554,14171800
2010-01-11,75.05218505859375,76.83166329050528,74.80393597517073,76.83166329050528,27533220
2010-01-12,74.48318481445312,75.21254547937875,73.7538174451671,75.04558679202394,9814100
2010-01-13,74.22394561767578,74.46560428323659,73.1804253519743,74.03281771539231,20693500
2010-01-14,73.98228454589844,75.30041524551544,73.3759422786796,75.13344987816893,20345280
2010-01-15,74.43704223632812,74.65014032296801,73.41989023964508,74.62377877894825,23163460
2010-01-18,77.6225357055664,78.12123289746395,73.9076090249149,74.25471390924638,47002920
2010-01-19,78.17396545410156,78.59577038023637,77.01840164469844,77.55005083547273,33328440
2010-01-20,77.15899658203125,78.64848436979881,76.58341377470424,78.42879586597256,27304220
2010-01-21,75.20594787597656,77.3698805568861,74.9181565285234,77.3698805568861,25046940
2010-01-22,73.68791198730469,74.69408226316648,72.67294559077197,74.5183341631149,18947400
2010-01-25,72.79158020019531,73.7230572105313,71.67556567107732,72.93657540160126,12057580
2010-01-27,70.17729187011719,72.98491050767015,69.72473411649746,72.98491050767015,24215580
2010-01-28,70.00373840332031,71.13513282482877,69.28096136916095,70.73969621098378,34864460
2010-01-29,71.66456604003906,71.92599582693666,68.21326243312322,69.42154888523973,32870340
2010-02-01,70.2893295288086,71.53056805880988,69.64124585253776,71.53056805880988,15034660
2010-02-02,69.38201141357422,70.95498160002514,69.07005084880433,70.60787007694597,20669400
2010-02-03,71.29988861083984,71.7238924434656,69.33368087234462,70.30030877715858,15455340
2010-02-04,71.03626251220703,71.39435576275912,69.66320968301005,71.09118462537491,17210480
2010-02-05,69.12936401367188,70.21242640832578,68.76248137081693,70.21242640832578,18693880
2010-02-08,68.86795806884766,69.810416970689,68.05949923864902,69.64125922777524,15181200
2010-02-09,69.0546646118164,69.3292751626775,68.1693204640146,68.84156655617383,23947500
2010-02-10,70.01690673828125,71.06701730184136,68.7185471438939,69.20186443438587,27733360
2010-02-11,70.21243286132812,71.75025207485501,69.86092998593575,70.47605498960262,14539380
2010-02-15,70.90665435791016,71.16588514944236,69.5314023585976,70.16849759541887,9604980
2010-02-16,70.58150482177734,71.29769131289336,69.86092697523857,70.51999232406158,14349700
2010-02-17,72.75861358642578,72.97830202221816,70.9549734057909,71.09117916328472,24796680
2010-02-18,73.98011016845703,74.25472082238598,72.53016457483989,73.15188684977754,20008840
2010-02-19,74.42605590820312,74.69407609648844,72.76521169370058,73.37594534184453,14691980
2010-02-22,74.54469299316406,75.55965264837705,74.25470260471462,74.73801991879701,13280340
2010-02-23,74.73800659179688,75.08291233169517,73.91856633406397,74.03719996352262,12945780
2010-02-24,74.71605682373047,75.1334636140475,74.1448654085995,74.25470965364927,11211380
2010-02-25,74.30084991455078,74.86984235724273,73.90321424338629,74.7380346132688,11673940
2010-02-26,74.90498352050781,76.2209220967547,73.815330518644,74.25470748601688,18702060
2010-03-02,76.66909790039062,77.15461437858475,74.95772907969979,75.74860242380888,15429300
2010-03-03,78.06189727783203,78.25303186904769,76.56362708101344,76.56362708101344,22295920
2010-03-04,78.25962829589844,78.5166600586291,77.02717245806087,77.98940905658341,27028840
2010-03-05,78.38484191894531,78.86815922546931,77.81365727132957,78.45294480699734,20899300
2010-03-08,78.39364624023438,79.52723974386922,77.89714806770856,79.52723974386922,14745920
2010-03-09,79.5799560546875,79.74692145160692,77.98941354082771,77.98941354082771,24795380
2010-03-10,79.7227554321289,79.96221506992511,76.00782244446657,79.61510351835975,29921120
2010-03-11,80.27196502685547,80.62566020913548,79.22404684179415,79.79084679062115,15490460
2010-03-12,79.14278411865234,80.42356515599714,78.48810995859078,80.27417858128062,14944880
2010-03-15,79.6392593383789,79.96659297190743,78.20908543406331,78.20908543406331,15025920
2010-03-16,79.28997039794922,79.52283965406107,77.50609428064416,79.3075425267069,20872500
2010-03-17,79.42616271972656,80.1774934513211,79.00435795308663,79.28995695577429,9589680
2010-03-18,79.12739562988281,79.6326831597719,78.67044653844158,79.6326831597719,7003940
2010-03-19,79.96002197265625,80.17751143779857,78.98460451631975,79.73813444681315,12679680
2010-03-22,80.71794128417969,81.50442306355374,78.99997582511442,79.1757239208659,30611220
2010-03-23,82.77861022949219,83.04223906700439,80.62566597246193,80.62566597246193,20308760
2010-03-25,84.6305923461914,84.79975005579006,82.17227781211128,82.60286533931881,46592800
2010-03-26,85.74221801757812,86.36393346084725,84.05720444018633,84.84369294643439,23105720
2010-03-29,86.33976745605469,87.43601077235306,71.56791022288631,71.56791022288631,26453420
2010-03-30,83.7825927734375,86.55286793393131,83.54313313982378,86.33757081451374,18739960
2010-03-31,84.95352935791016,85.36653802713035,83.36078803801823,83.48161400812823,13652160
2010-04-01,85.2061767578125,85.67850564034234,84.62839499323255,85.67850564034234,14818440
2010-04-05,85.61260986328125,86.10031859422963,84.55370969992362,86.06516763022714,14247680
2010-04-06,84.92716217041016,85.67849965577138,84.59762947942643,85.67849965577138,8842880
2010-04-07,84.87665557861328,85.58844419219346,84.62401513775029,85.23914027240463,10756100
2010-04-08,83.60464477539062,84.79535924935162,83.20920820560764,84.79535924935162,12477660
2010-04-09,85.64995574951172,85.98607889154576,83.06422447801386,83.06422447801386,12415300
2010-04-12,85.86304473876953,86.46498902871508,85.18200910973809,85.18200910973809,9141280
