Price,Close,High,Low,Open,Volume
Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS
Date,,,,,
2010-01-04,180.6279296875,182.05715645488652,179.8996618903213,180.95564950170277,4371510
2010-01-05,184.3966827392578,185.70756186905706,181.2833517512604,181.70211020849408,7629380
2010-01-06,181.3015899658203,187.2915717493725,180.70986627041734,185.70759024375295,5953585
2010-01-07,182.58514404296875,183.15864328037944,180.0817331251713,181.41990727283118,4964525
2010-01-08,184.97019958496094,185.68935512436255,181.40170293172827,182.61244510005662,7931425
2010-01-11,191.06031799316406,191.7157575728411,184.8154453633064,185.52550259286454,10096505
2010-01-12,191.0421142578125,195.7212162678497,187.7102985913342,190.80543313641303,14351905
2010-01-13,189.40350341796875,190.96017585032078,186.90009266861156,189.62198790214754,10503700
2010-01-14,194.100830078125,196.44948636807803,189.69483016544683,190.22282395688302,10746410
2010-01-15,196.23098754882812,199.07121639428823,193.9369490787365,196.63153549176255,16362695
2010-01-18,201.66566467285156,202.63972570039832,193.11765547037015,194.81087201641526,10033600
2010-01-19,201.3197479248047,214.41941389684237,199.01661100165143,214.41941389684237,8069485
2010-01-20,197.3142852783203,203.70481411648126,196.66794402208265,201.54731975229203,6584845
2010-01-21,193.21778869628906,198.63425631979447,191.1695435864344,197.54186170598223,7313095
2010-01-22,187.82864379882812,192.60788274223336,186.61790159963255,190.25922650889368,7275735
2010-01-25,185.47088623046875,187.46449991772764,183.0038825328158,186.79996202197466,5243060
2010-01-27,177.10494995117188,183.82318522488254,175.72124254239768,182.63065349313447,12127575
2010-01-28,185.4890899658203,187.5282369605534,178.06079754400858,178.06079754400858,14347760
2010-01-29,186.74534606933594,190.2592251370587,179.91786191369985,183.8778082801896,15392485
2010-02-01,193.4544677734375,195.17499309209396,182.97656123279472,186.79994928641457,10680450
2010-02-02,188.8572998046875,196.995648329501,187.57372959489777,193.93693521816724,8883385
2010-02-03,194.99293518066406,196.08532981408754,186.44492599103452,190.35935282714075,13260715
2010-02-04,190.88735961914062,194.61970936257293,190.25922884210178,192.9720120434144,6585835
2010-02-05,186.74534606933594,188.98476698422746,181.17412344331356,188.20188157875913,12212410
2010-02-08,186.1991424560547,189.6584038855683,182.24830827739513,186.6179009309622,7426465
2010-02-09,189.0848846435547,192.4439948366544,184.46949915872105,186.61788117568264,9225825
2010-02-10,186.55418395996094,190.3502776500819,185.72579304568893,190.07717548589687,8286355
