Price,Close,High,Low,Open,Volume
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,
2010-01-04,270.07568359375,275.8060562527254,268.9545133330153,273.9374766466395,3275801
2010-01-05,274.35272216796875,275.72301953138356,270.3248443162895,272.60869200288386,4773358
2010-01-06,271.44598388671875,278.339062121321,270.823124011237,276.511989613762,4893074
2010-01-07,273.5637512207031,277.3840091366985,272.4010738102192,272.69173613250155,4292821
2010-01-08,269.9511413574219,275.26627480017845,269.6189437596647,273.85444204005,2946669
2010-01-11,273.1900634765625,274.8925868142279,270.3248906580006,274.8925868142279,3487591
2010-01-12,267.6257629394531,277.30100057059417,266.0893525376331,274.1451373963753,7220708
2010-01-13,264.4283752441406,267.3766182372714,261.8123017114721,267.0028854122169,4770795
2010-01-14,264.13775634765625,267.9165083797975,263.4318538708878,265.0928141086319,4349517
2010-01-15,263.597900390625,267.8333990006372,262.43522276866867,264.0962108867204,4890287
2010-01-18,266.33856201171875,267.99955036835354,262.559838106568,263.2657405822854,4348367
2010-01-19,266.2139587402344,270.57403518078485,264.17926577509786,266.5876916300078,4310517
2010-01-20,275.307861328125,275.9722566473989,267.04448321152984,267.04448321152984,10115597
2010-01-21,267.7503967285156,276.55362101205014,266.75380370841566,274.0621244011181,4388678
2010-01-22,267.54266357421875,274.06200852096566,261.60464321904215,264.67746336807886,9648877
2010-01-25,274.8095397949219,275.5154421453512,264.4283995601705,267.54272756991645,5990411
2010-01-27,268.16558837890625,275.55697824663224,265.7571627121235,273.6468349392643,5597033
2010-01-28,260.4835510253906,272.2765235194556,258.28274546368226,269.07912516821756,8455790
2010-01-29,254.4624786376953,260.69116227252033,252.59387073511218,258.28273680886707,7595735
2010-02-01,258.44879150390625,260.5250191408816,253.29974358964486,253.29974358964486,4288766
2010-02-02,255.50054931640625,262.1860073822518,254.21329436568746,261.18941474001207,5096874
2010-02-03,256.62176513671875,259.7360930907184,254.54553712693286,257.45224509208975,4049198
2010-02-04,252.55238342285156,256.6217975857223,249.56263270838488,254.96080934359526,2861509
2010-02-05,249.18885803222656,252.84303155228883,244.49658461072215,250.80831075129066,4344729
2010-02-08,256.0820007324219,257.86756675298074,248.64910235106893,250.89141556913805,5335407
2010-02-09,260.0682678222656,262.85042604649277,254.96075467898805,257.4522224473169,6797505
2010-02-10,261.85382080078125,264.42835893138897,255.95733517827765,261.6046655994488,6011378
2010-02-11,261.189453125,264.013118632308,258.07512526649646,262.0199611762631,3742244
2010-02-15,237.18824768066406,263.26565830521673,236.19165497814322,263.26565830521673,21051251
2010-02-16,225.56141662597656,240.42719724225532,223.6928084790788,237.52048908117007,49980391
2010-02-17,231.8315887451172,233.99085895952544,227.05625906687706,227.05625906687706,17899829
2010-02-18,234.11544799804688,236.19167594896925,229.21555453328727,231.70702245012262,7785215
2010-02-19,231.5409393310547,235.77645194930872,227.80373720272675,232.99430743152647,9762722
2010-02-22,229.9629669189453,235.028958627561,229.2155294378629,233.36798488508038,6283372
2010-02-23,232.6205596923828,233.53411011793665,228.38506140558877,228.38506140558877,4149060
