Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-01-04,222.17855834960938,223.65826633156436,220.7073420270429,221.95744301345363,4069264
2010-01-05,222.922607421875,223.71772964785285,221.11548314192845,222.8077935745852,6895528
2010-01-06,219.66990661621094,228.16551320874356,218.9895770949027,228.16551320874356,6817288
2010-01-07,214.73318481445312,219.967472355202,214.1506445647265,219.967472355202,10892600
2010-01-08,209.55848693847656,214.5844293490631,209.03123573629523,214.21874809590224,12649312
2010-01-11,211.72271728515625,213.00259090520427,210.39183142592486,210.48538500743086,7849656
2010-01-12,219.9972381591797,220.59678252623337,212.60291299752637,212.60291299752637,24859680
2010-01-13,228.2079315185547,229.18590476709704,210.63418575280903,210.63418575280903,19704040
2010-01-14,228.7394256591797,229.8577084399525,225.3760441353437,227.82523332686768,8413904
2010-01-15,227.55313110351562,228.97331426708953,225.71197760494724,228.73945108631534,5049504
2010-01-18,228.475830078125,228.76072627624401,225.86932676197176,226.46461489726312,6140088
2010-01-19,224.15994262695312,228.59059452352147,223.49663831494308,227.91026537315383,5837512
2010-01-20,226.0138397216797,227.33197742723272,224.3385333708925,225.2442132315218,6091992
2010-01-21,223.25006103515625,226.6091870350452,221.10702784079226,224.76379791662075,6682792
2010-01-22,219.0320587158203,221.95746683210015,217.02507868027573,221.1070550817856,13486496
2010-01-25,216.20016479492188,218.5515447770124,214.13366026742244,216.8549776338075,6498712
2010-01-27,212.7942657470703,215.4815750000616,211.34005344815338,215.32424053215388,9840856
2010-01-28,211.9013214111328,217.27166263863342,210.85956714714712,213.70844615478148,12732872
2010-01-29,210.51942443847656,212.60293318367658,204.50701764044322,208.5549650310573,15012280
2010-02-01,208.45716857910156,215.1541607364108,203.25690932302132,208.0957436055325,12308784
2010-02-02,207.49618530273438,212.6879525511968,205.93992783898355,212.6879525511968,9889384
2010-02-03,210.3237762451172,212.60288330656363,208.35082564043236,208.35082564043236,6405608
