Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-02-25,273.4714660644531,274.73844207261504,271.6869866774094,274.73844207261504,2672984
2010-02-26,271.8834228515625,277.86143204785736,266.2980124037548,273.77496767345013,3015934
2010-03-02,272.3830261230469,274.4530185251133,269.45647462478615,271.9547465749497,4053352
2010-03-03,274.3636779785156,276.2373811451981,272.72196582193783,274.4529019388338,2754742
2010-03-04,272.6328430175781,274.8098997438265,270.17025208581384,274.0961077964399,2053606
2010-03-05,272.1687927246094,273.7213028916354,271.2944152344041,273.02535156043035,1287312
2010-03-08,272.2045593261719,274.8098955376155,271.34800028913776,273.95333650058143,3015740
2010-03-09,274.3459167480469,277.8434926456489,272.3116055088376,272.3116055088376,3457732
2010-03-10,278.39666748046875,279.96701829500245,271.2409083984392,272.5614277038609,4587874
2010-03-11,282.5187683105469,283.69654213449934,275.5057773777885,278.3966252763002,3214030
2010-03-12,284.4282531738281,285.5167815468351,282.66161373136674,285.5167815468351,2510976
2010-03-15,291.94073486328125,292.65452639106434,282.35809231606885,284.42808339000203,6054434
2010-03-16,295.8667297363281,296.9195770998705,291.15569904371785,293.190010227254,3088856
2010-03-17,300.04248046875,301.898344080515,296.2236887986804,297.6512728410837,4174794
2010-03-18,294.7424621582031,301.5770271676479,292.8330778592368,301.5770271676479,3724554
2010-03-19,292.97589111328125,297.81182683036525,287.3904608388367,287.3904608388367,4716624
2010-03-22,295.3670349121094,297.57979382466635,287.7116353669841,290.83447445799686,3310110
2010-03-23,295.74188232421875,297.29437122779325,293.40419607227545,296.2236832161685,1694964
2010-03-25,296.15228271484375,298.65055459903317,291.9409144667077,294.1179712525062,5517582
2010-03-26,294.4570007324219,298.3650157620214,293.47553686478363,296.22364005081073,1997806
2010-03-29,289.7816467285156,295.97378222996883,288.56819188670084,294.0822382097738,3443266
2010-03-30,285.5167541503906,291.2627701143874,284.4996094270097,288.5860505442275,3097160
2010-03-31,278.6108093261719,288.1042321075482,277.4151949213997,285.5167366813733,7083046
2010-04-01,288.30047607421875,289.01426780591186,279.12824796532294,280.64505539517086,5781432
2010-04-05,286.7122802734375,291.58391747326374,285.2490159614517,291.58391747326374,3001836
